# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
  205       7.408823861218e-10       9.385556864955e-14       1.079835503630e-13       0.000000000000e+00 
  206       7.415003915605e-10       9.542081684019e-14       3.103172167795e-13       0.000000000000e+00 
  207       7.420312654054e-10       9.716749123085e-14       5.148340178614e-13       0.000000000000e+00 
  208       7.424748577616e-10       9.910027177231e-14       7.214567264083e-13       0.000000000000e+00 
  209       7.428310436146e-10       1.012238774667e-13       9.301055024245e-13       0.000000000000e+00 
  210       7.430997231070e-10       1.035430662865e-13       1.140697867634e-12       0.000000000000e+00 
  211       7.432808218159e-10       1.060626350940e-13       1.353148679995e-12       0.000000000000e+00 
  212       7.433742910297e-10       1.087874195600e-13       1.567370108217e-12       0.000000000000e+00 
  213       7.433801080259e-10       1.117222940834e-13       1.783271606271e-12       0.000000000000e+00 
  214       7.432982763476e-10       1.148721717101e-13       2.000759887913e-12       0.000000000000e+00 
  215       7.431288260812e-10       1.182420040520e-13       2.219738901190e-12       0.000000000000e+00 
  216       7.428718141332e-10       1.218367812067e-13       2.440109802961e-12       0.000000000000e+00 
  217       7.425273245074e-10       1.256615316761e-13       2.661770933409e-12       0.000000000000e+00 
  218       7.420954685824e-10       1.297213222856e-13       2.884617790558e-12       0.000000000000e+00 
  219       7.415763853883e-10       1.340212581038e-13       3.108543004787e-12       0.000000000000e+00 
  220       7.409702418842e-10       1.385664823608e-13       3.333436313346e-12       0.000000000000e+00 
  221       7.402772332351e-10       1.433621763682e-13       3.559184534870e-12       0.000000000000e+00 
  222       7.394975830896e-10       1.484135594375e-13       3.785671543894e-12       0.000000000000e+00 
  223       7.386315438562e-10       1.537258887998e-13       4.012778245370e-12       0.000000000000e+00 
  224       7.376794024962e-10       1.593040453414e-13       4.240389070122e-12       0.000000000000e+00 
  225       7.366414977394e-10       1.651512613890e-13       4.468411977980e-12       0.000000000000e+00 
  226       7.355182045113e-10       1.712703109618e-13       4.696759691560e-12       0.000000000000e+00 
  227       7.343099288071e-10       1.776639155408e-13       4.925343281040e-12       0.000000000000e+00 
  228       7.330171079812e-10       1.843347430017e-13       5.154072154195e-12       0.000000000000e+00 
