# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  159       1.157606077782e+04       2.431817610459e+00       0.000000000000e+00      -1.179779640235e+02       1.838653289022e-08       1.891050417972e-04      -2.026622730739e-06 
  160       1.168147210191e+04       2.448418968396e+00       0.000000000000e+00      -1.191777335015e+02       1.805890427919e-08       1.885953651958e-04      -2.023147287416e-06 
  161       1.178688977251e+04       2.464484411556e+00       0.000000000000e+00      -1.203596335521e+02       1.773456423075e-08       1.880495438458e-04      -2.018442350964e-06 
  162       1.189230168002e+04       2.480004638785e+00       0.000000000000e+00      -1.215230609721e+02       1.741368897126e-08       1.874675853560e-04      -2.012498339545e-06 
  163       1.199769624317e+04       2.494970884580e+00       0.000000000000e+00      -1.226674195150e+02       1.709669483336e-08       1.868511380707e-04      -2.005354654442e-06 
  164       1.210306163981e+04       2.509374627378e+00       0.000000000000e+00      -1.237921145184e+02       1.678396316923e-08       1.862019390478e-04      -1.997055653754e-06 
  165       1.220838580256e+04       2.523207595863e+00       0.000000000000e+00      -1.248965530677e+02       1.647583700745e-08       1.855218154525e-04      -1.987650814640e-06 
  166       1.231365641446e+04       2.536461775274e+00       0.000000000000e+00      -1.259801441593e+02       1.617261760252e-08       1.848126859557e-04      -1.977194897560e-06 
  167       1.241886090466e+04       2.549129413718e+00       0.000000000000e+00      -1.270422988637e+02       1.587456087574e-08       1.840765621374e-04      -1.965748112503e-06 
  168       1.252398644409e+04       2.561203028478e+00       0.000000000000e+00      -1.280824304888e+02       1.558187374604e-08       1.833155498940e-04      -1.953376287209e-06 
  169       1.262901994108e+04       2.572675412325e+00       0.000000000000e+00      -1.290999547431e+02       1.529471034959e-08       1.825318508507e-04      -1.940151037383e-06 
  170       1.273394803706e+04       2.583539639825e+00       0.000000000000e+00      -1.300942898992e+02       1.501316814673e-08       1.817277637783e-04      -1.926149938903e-06 
  171       1.283875710222e+04       2.593789073653e+00       0.000000000000e+00      -1.310648569564e+02       1.473728391489e-08       1.809056860147e-04      -1.911456702018e-06 
  172       1.294343323113e+04       2.603417370897e+00       0.000000000000e+00      -1.320110798049e+02       1.446702962631e-08       1.800681148909e-04      -1.896161347538e-06 
