# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ncdm[1]        15:(.)p_ncdm[1]          16:(.)rho_lambda         17:(.)rho_ur             18:(.)rho_crit           19:(.)rho_tot            20:(.)p_tot              21:(.)p_tot_prime        22:gr.fac. D             23:gr.fac. f          
       7.408542322370e+13       1.292046900020e-25       5.869878805242e-09       1.262169266011e+22       1.309191344201e+04       1.767137565304e-10       9.699199481592e+17       3.388867103109e-09       8.289152634162e+43       1.015718208658e+33       6.098833609226e+33       5.722119694704e+43       1.907373231568e+43       1.907373231568e+43       6.357910771894e+42       3.946581014145e-08       1.206699948290e+41       1.593071256063e+44       1.593071256063e+44       5.310237519972e+43      -3.618751598511e+52       4.324463469476e-06       3.333873524565e+00 
       7.357043021222e+13       1.310198866918e-25       5.909896572120e-09       1.244682718499e+22       1.309191344201e+04       1.779507528261e-10       9.631777042296e+17       3.412589172831e-09       8.061061870468e+43       9.946832997422e+32       5.972530459031e+33       5.564665403691e+43       1.854888467897e+43       1.854888467897e+43       6.182961559656e+42       3.946581014145e-08       1.173495455032e+41       1.549235069730e+44       1.549235069730e+44       5.164116898868e+43      -3.494712232504e+52       4.425032387370e-06       3.258103671734e+00 
       7.305901709257e+13       1.328605850800e-25       5.951733328402e-09       1.227438435913e+22       1.309191344201e+04       1.791964080959e-10       9.564823279341e+17       3.436477297040e-09       7.839247429430e+43       9.740840110497e+32       5.848842970579e+33       5.411543747274e+43       1.803847915758e+43       1.803847915758e+43       6.012826385860e+42       3.946581014145e-08       1.141204642407e+41       1.506605113957e+44       1.506605113957e+44       5.022017046295e+43      -3.374924543878e+52       4.525601305265e-06       3.185701367918e+00 
       7.255115897971e+13       1.347271434398e-25       5.993570084684e-09       1.210433061828e+22       1.309191344201e+04       1.804507829526e-10       9.498334934797e+17       3.460532638120e-09       7.623536606878e+43       9.539113211498e+32       5.727716975100e+33       5.262635505315e+43       1.754211835105e+43       1.754211835105e+43       5.847372783683e+42       3.946581014145e-08       1.109802368868e+41       1.465148197166e+44       1.465148197166e+44       4.883827323662e+43      -3.259242798573e+52       4.626170223160e-06       3.116446990354e+00 
       7.204683116158e+13       1.366199250779e-25       6.035406840965e-09       1.193663286318e+22       1.309191344201e+04       1.817139384333e-10       9.432308773383e+17       3.484756366586e-09       7.413761450905e+43       9.341563954397e+32       5.609099425625e+33       5.117824738228e+43       1.705941579409e+43       1.705941579409e+43       5.686471931365e+42       3.946581014145e-08       1.079264184685e+41       1.424832041104e+44       1.424832041104e+44       4.749440136797e+43      -3.147526257829e+52       4.726739141054e-06       3.050139607581e+00 
       7.154600909790e+13       1.385392984053e-25       6.077243597247e-09       1.177125845318e+22       1.309191344201e+04       1.829859360023e-10       9.366741582307e+17       3.509149661152e-09       7.209758631098e+43       9.148105822763e+32       5.492938373757e+33       4.976998696711e+43       1.658999565570e+43       1.658999565570e+43       5.529998551902e+42       3.946581014145e-08       1.049566312903e+41       1.385625255715e+44       1.385625255715e+44       4.618750852170e+43      -3.039639006968e+52       4.827308058949e-06       2.986595032423e+00 
       7.104866841896e+13       1.404856370086e-25       6.120899342932e-09       1.160817519980e+22       1.309191344201e+04       1.842668375543e-10       9.301630171109e+17       3.533713708780e-09       7.011369311369e+43       8.958654091864e+32       5.379182946919e+33       4.840047733960e+43       1.613349244653e+43       1.613349244653e+43       5.377830815512e+42       3.946581014145e-08       1.020685630833e+41       1.347497314692e+44       1.347497314692e+44       4.491657715430e+43      -2.935449790038e+52       4.927876976844e-06       2.925644113394e+00 
       7.055478492449e+13       1.424593197229e-25       6.162736099213e-09       1.144735136053e+22       1.309191344201e+04       1.855567054172e-10       9.236971371509e+17       3.558449704741e-09       6.818439026289e+43       8.773125791568e+32       5.267783326073e+33       4.706865220297e+43       1.568955073432e+43       1.568955073432e+43       5.229850244774e+42       3.946581014145e-08       9.925996520478e+40       1.310418531715e+44       1.310418531715e+44       4.368061772180e+43      -2.834831850125e+52       5.028445894738e-06       2.867131231126e+00 
       7.006433458242e+13       1.444607307057e-25       6.206391844898e-09       1.128875563265e+22       1.309191344201e+04       1.868556023551e-10       9.172762037248e+17       3.583358852674e-09       6.630817560821e+43       8.591439670002e+32       5.158690723903e+33       4.577347460149e+43       1.525782486716e+43       1.525782486716e+43       5.085941622387e+42       3.946581014145e-08       9.652865088749e+40       1.274360037338e+44       1.274360037338e+44       4.247866790925e+43      -2.737662775140e+52       5.129014812633e-06       2.810912971693e+00 
       6.957729352772e+13       1.464902595114e-25       6.250047590584e-09       1.113235714710e+22       1.309191344201e+04       1.881635915716e-10       9.108999043940e+17       3.608442364643e-09       6.448358833359e+43       8.413516157974e+32       5.051857363451e+33       4.451393611310e+43       1.483797870437e+43       1.483797870437e+43       4.945992901456e+42       3.946581014145e-08       9.387249353691e+40       1.239293756505e+44       1.239293756505e+44       4.130979188153e+43      -2.643824348897e+52       5.229583730528e-06       2.756856953006e+00 
