#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.966170023667e-02       1.719015364604e-07      -1.203971783935e+00       2.391758981023e-02       5.532547315990e-10       1.383136828997e-09       1.799688519843e-17       2.766273657995e-10      -9.029788379514e-01       2.391758981023e-02       6.010709447008e-01       6.993248625331e-01      -1.203971711575e+00       2.391083578908e-02       2.542240772473e-04      -9.029789507603e-01       2.393162902711e-02 
       8.083227744732e-02       1.744279323422e-07      -1.204048003815e+00       2.426883987957e-02       5.780018915268e-10       1.445004728817e-09       1.935860318571e-17       2.890009457634e-10      -9.030360028614e-01       2.426883987957e-02       6.010651162505e-01       6.993152085534e-01      -1.204047920679e+00       2.426178380511e-02       2.617413264106e-04      -9.030361324700e-01       2.428350700559e-02 
       8.200285465797e-02       1.769543402113e-07      -1.204124305349e+00       2.462006080211e-02       6.034755910768e-10       1.508688977692e-09       2.080150893659e-17       3.017377955384e-10      -9.030932290114e-01       2.462006080211e-02       6.010593356503e-01       6.993056712098e-01      -1.204124210958e+00       2.461269380962e-02       2.693680272352e-04      -9.030933761655e-01       2.463537427773e-02 
       8.317343186861e-02       1.794807600676e-07      -1.204200738356e+00       2.497125262048e-02       6.296863063577e-10       1.574215765894e-09       2.232917829765e-17       3.148431531789e-10      -9.031505537674e-01       2.497125262048e-02       6.010535973972e-01       6.992962380357e-01      -1.204200632219e+00       2.496356571717e-02       2.771041651482e-04      -9.031507192345e-01       2.498723115298e-02 
       8.434400907926e-02       1.820071919112e-07      -1.204277348648e+00       2.532241535074e-02       6.566445113591e-10       1.641611278398e-09       2.394529046545e-17       3.283222556795e-10      -9.032080114858e-01       2.532241535074e-02       6.010478963996e-01       6.992868975674e-01      -1.204277230257e+00       2.531439941570e-02       2.849497255006e-04      -9.032081960555e-01       2.533907791412e-02 
       8.642843852195e-02       1.865060012265e-07      -1.204414320778e+00       2.594765320407e-02       7.065318549124e-10       1.766329637281e-09       2.705391127510e-17       3.532659274562e-10      -9.033107405838e-01       2.594765320407e-02       6.010378257318e-01       6.992704660135e-01      -1.204414179270e+00       2.593902838645e-02       2.991910561220e-04      -9.033109611940e-01       2.596558161844e-02 
       8.851286796463e-02       1.910048485514e-07      -1.204552228120e+00       2.657279921010e-02       7.588816986843e-10       1.897204246711e-09       3.047723441767e-17       3.794408493421e-10      -9.034141710899e-01       2.657279921010e-02       6.010278282721e-01       6.992542350463e-01      -1.204552061760e+00       2.656353546007e-02       3.137792172693e-04      -9.034144304441e-01       2.659205599073e-02 
       9.059729740731e-02       1.955037338860e-07      -1.204691209248e+00       2.719785189125e-02       8.137531003426e-10       2.034382750856e-09       3.423855767761e-17       4.068765501713e-10      -9.035184069357e-01       2.719785189126e-02       6.010178929014e-01       6.992381699578e-01      -1.204691016219e+00       2.718791843630e-02       3.287141243255e-04      -9.035187078692e-01       2.721850105911e-02 
       9.268172685000e-02       2.000026572302e-07      -1.204831442839e+00       2.782281106839e-02       8.712051344934e-10       2.178012836234e-09       3.836230115543e-17       4.356025672467e-10      -9.036235821294e-01       2.782281106840e-02       6.010079972132e-01       6.992222260137e-01      -1.204831221236e+00       2.781217641351e-02       3.439956914672e-04      -9.036239276126e-01       2.784491814998e-02 
       9.476615629268e-02       2.045016185840e-07      -1.204973092182e+00       2.844767657808e-02       9.312968594661e-10       2.328242148665e-09       4.287403226314e-17       4.656484297330e-10      -9.037298191365e-01       2.844767657809e-02       6.009981198814e-01       6.992063623270e-01      -1.204972840011e+00       2.843630850595e-02       3.596238317951e-04      -9.037302122779e-01       2.847130860523e-02 
       9.685058573537e-02       2.090006179475e-07      -1.205116269680e+00       2.907244732043e-02       9.940872848130e-10       2.485218212032e-09       4.780049035867e-17       4.970436424065e-10      -9.038372022600e-01       2.907244732043e-02       6.009882486646e-01       6.991905507313e-01      -1.205115984857e+00       2.906031289167e-02       3.755984573445e-04      -9.038376463094e-01       2.909767283007e-02 
       9.893501517805e-02       2.134996553206e-07      -1.205261085216e+00       2.969712238414e-02       1.059635404434e-09       2.649088511085e-09       5.316961425546e-17       5.298177022170e-10      -9.039458139120e-01       2.969712238415e-02       6.009783702567e-01       6.991747636897e-01      -1.205260765564e+00       2.968418793751e-02       3.919194789152e-04      -9.039463122636e-01       2.972401141816e-02 
       1.015089370441e-01       2.190552667289e-07      -1.205442307070e+00       3.046835799696e-02       1.144469230214e-09       2.861173075536e-09       6.045388453391e-17       5.722346151071e-10      -9.040817303027e-01       3.046835799697e-02       6.009661456010e-01       6.991552684444e-01      -1.205441941267e+00       3.045438814180e-02       4.125510419215e-04      -9.040823006117e-01       3.049740008957e-02 
       1.040828589101e-01       2.246109360948e-07      -1.205626375506e+00       3.123944525753e-02       1.233708958318e-09       3.084272395795e-09       6.851524366076e-17       6.168544791590e-10      -9.042197816296e-01       3.123944525754e-02       6.009538630083e-01       6.991357231902e-01      -1.205625959907e+00       3.122438620809e-02       4.337104822849e-04      -9.042204295814e-01       3.127075233666e-02 
       1.066567807761e-01       2.301666634183e-07      -1.205813387910e+00       3.201038087030e-02       1.327465467495e-09       3.318663668738e-09       7.741422474492e-17       6.637327337477e-10      -9.043600409325e-01       3.201038087032e-02       6.009415138190e-01       6.991161034518e-01      -1.205812918682e+00       3.199417748305e-02       4.553976236029e-04      -9.043607725040e-01       3.204406769623e-02 
       1.092307026421e-01       2.357224486993e-07      -1.206003512802e+00       3.278116387156e-02       1.425849672782e-09       3.564624181955e-09       8.721442477774e-17       7.129248363911e-10      -9.045026346015e-01       3.278116387157e-02       6.009290720860e-01       6.990963669688e-01      -1.206002985921e+00       3.276375964571e-02       4.776122863169e-04      -9.045034560687e-01       3.281734803642e-02 
       1.118046245081e-01       2.412782919378e-07      -1.206196815543e+00       3.355179071372e-02       1.528972324081e-09       3.822430810204e-09       9.798256773217e-17       7.644861620407e-10      -9.046476116573e-01       3.355179071374e-02       6.009165326174e-01       6.990764972685e-01      -1.206196226790e+00       3.353312779179e-02       5.003542873602e-04      -9.046485296025e-01       3.359059264107e-02 
       1.143785463741e-01       2.468341931339e-07      -1.206393431481e+00       3.432226015460e-02       1.636944211453e-09       4.092360528634e-09       1.097885913735e-16       8.184721057267e-10      -9.047950736106e-01       3.432226015463e-02       6.009038737617e-01       6.990564603794e-01      -1.206392776434e+00       3.430227932297e-02       5.236234402522e-04      -9.047960949298e-01       3.436380309892e-02 
       1.169524682401e-01       2.523901522875e-07      -1.206593436042e+00       3.509256947388e-02       1.749875999763e-09       4.374689999406e-09       1.227057116772e-16       8.749379998813e-10      -9.049450770312e-01       3.509256947391e-02       6.008910856939e-01       6.990362373087e-01      -1.206592710075e+00       3.507121016337e-02       5.474195551906e-04      -9.049462089412e-01       3.513697952008e-02 
       1.205414000728e-01       2.601371658815e-07      -1.206878084770e+00       3.616637265761e-02       1.915829997582e-09       4.789574993956e-09       1.427165933395e-16       9.579149987912e-10      -9.051585635774e-01       3.616637265764e-02       6.008730240769e-01       6.990076990727e-01      -1.206877251796e+00       3.614298760839e-02       5.814787944306e-04      -9.051598623570e-01       3.621499624381e-02 
       1.241303319054e-01       2.678842921562e-07      -1.207169621532e+00       3.723985185324e-02       2.091941626123e-09       5.229854065306e-09       1.652558155950e-16       1.045970813061e-09      -9.053772161493e-01       3.723985185328e-02       6.008546696858e-01       6.989787232374e-01      -1.207168671561e+00       3.721431700153e-02       6.165616374780e-04      -9.053786973818e-01       3.729294728493e-02 
       1.277192637380e-01       2.756315311116e-07      -1.207468208956e+00       3.831300019324e-02       2.278510261915e-09       5.696275654788e-09       1.905554948780e-16       1.139255130958e-09      -9.056011567171e-01       3.831300019329e-02       6.008359975504e-01       6.989492687542e-01      -1.207467131397e+00       3.828518780635e-02       6.526675342478e-04      -9.056028369267e-01       3.837083344403e-02 
       1.313081955706e-01       2.833788827477e-07      -1.207773967936e+00       3.938581000067e-02       2.475834972097e-09       6.189587430242e-09       2.188614908502e-16       1.237917486048e-09      -9.058304759521e-01       3.938581000072e-02       6.008169897838e-01       6.989193049988e-01      -1.207772751578e+00       3.935558867937e-02       6.897959208207e-04      -9.058323726311e-01       3.944865471030e-02 
       1.348971274032e-01       2.911263470646e-07      -1.208087006893e+00       4.045827363423e-02       2.684214549905e-09       6.710536374762e-09       2.504337985439e-16       1.342107274952e-09      -9.060652551701e-01       4.045827363430e-02       6.007976296374e-01       6.988888044566e-01      -1.208085639886e+00       4.042550831521e-02       7.279462192414e-04      -9.060673868069e-01       4.052641110663e-02 
       1.384860592358e-01       2.988739240622e-07      -1.208407416617e+00       4.153038323848e-02       2.903947490617e-09       7.259868726542e-09       2.855469351422e-16       1.451973745308e-09      -9.063055624629e-01       4.153038323855e-02       6.007779029281e-01       6.988577440114e-01      -1.208405886457e+00       4.149493519686e-02       7.671178372171e-04      -9.063079485692e-01       4.160410243967e-02 
       1.420749910685e-01       3.066216137405e-07      -1.208735256852e+00       4.260213015372e-02       3.135331936992e-09       7.838329842481e-09       3.244903223491e-16       1.567665968496e-09      -9.065514426390e-01       4.260213015380e-02       6.007578012003e-01       6.988261082985e-01      -1.208733550363e+00       4.256385700566e-02       8.073101676533e-04      -9.065541037771e-01       4.268172770980e-02 
       1.457788415571e-01       3.146175048786e-07      -1.209081470447e+00       4.370780633238e-02       3.386658189268e-09       8.466645473170e-09       3.690199313424e-16       1.693329094634e-09      -9.068111028351e-01       4.370780633248e-02       6.007366481422e-01       6.987928347911e-01      -1.209079567434e+00       4.366646444683e-02       8.498590702814e-04      -9.068140705151e-01       4.379378961066e-02 
       1.494826920458e-01       3.226135160291e-07      -1.209435771058e+00       4.481308006058e-02       3.651038495124e-09       9.127596237809e-09       4.183061227305e-16       1.825519247562e-09      -9.070768282933e-01       4.481308006070e-02       6.007150653152e-01       6.987589043683e-01      -1.209433655975e+00       4.476850987929e-02       8.934937372627e-04      -9.070801267803e-01       4.490578155859e-02 
       1.531865425345e-01       3.306096471920e-07      -1.209798162737e+00       4.591794027147e-02       3.928799387314e-09       9.821998468285e-09       4.727195790889e-16       1.964399693657e-09      -9.073486220526e-01       4.591794027160e-02       6.006930544182e-01       6.987243155136e-01      -1.209795819238e+00       4.586997822349e-02       9.382134524416e-04      -9.073522768585e-01       4.601770089924e-02 
       1.568903930231e-01       3.386058983674e-07      -1.210168749610e+00       4.702238008927e-02       4.220267367119e-09       1.055066841780e-08       5.326497119164e-16       2.110133683559e-09      -9.076265622078e-01       4.702238008942e-02       6.006705949762e-01       6.986890416810e-01      -1.210166160534e+00       4.697085859420e-02       9.840174829796e-04      -9.076306001230e-01       4.712954916679e-02 
       1.605942435118e-01       3.466022695551e-07      -1.210547519611e+00       4.812638812664e-02       4.525768164722e-09       1.131442041181e-08       5.985050236683e-16       2.262884082361e-09      -9.079106397083e-01       4.812638812681e-02       6.006476912315e-01       6.986530853609e-01      -1.210544666956e+00       4.807113559795e-02       1.030905078921e-03      -9.079150888324e-01       4.824132338125e-02 
       1.642980940005e-01       3.545987607552e-07      -1.210934539124e+00       4.922995637993e-02       4.845627410420e-09       1.211406852605e-08       6.707136376547e-16       2.422813705210e-09      -9.082009043432e-01       4.922995638012e-02       6.006243301029e-01       6.986164294191e-01      -1.210931404033e+00       4.917079722839e-02       1.078875473313e-03      -9.082057941164e-01       4.935302394369e-02 
       1.680019444891e-01       3.625953719677e-07      -1.211329843660e+00       5.033307575154e-02       5.180170238318e-09       1.295042559580e-08       7.497236972747e-16       2.590085119159e-09      -9.084973827447e-01       5.033307575175e-02       6.006005048629e-01       6.985790644295e-01      -1.211326406397e+00       5.026983038870e-02       1.127927882636e-03      -9.085027439788e-01       5.046465015853e-02 
