# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   88       3.401564581622e+03       5.213662702647e-01       0.000000000000e+00      -1.785502163462e+01       5.113843280933e-08       4.241791939997e-04      -1.691791948107e-06 
   89       3.444840538651e+03       5.360159183054e-01       0.000000000000e+00      -1.853445166431e+01       5.057514485578e-08       4.184807574254e-04      -1.697932356997e-06 
   90       3.488332058078e+03       5.507450689224e-01       0.000000000000e+00      -1.922150058719e+01       5.002133363625e-08       4.129458899918e-04      -1.704385665952e-06 
   91       3.532031937409e+03       5.655428764371e-01       0.000000000000e+00      -1.991578814534e+01       4.947483705365e-08       4.075649578293e-04      -1.711032846377e-06 
   92       3.575930729429e+03       5.803981462872e-01       0.000000000000e+00      -2.061692324227e+01       4.893188331654e-08       4.023212544477e-04      -1.717728654622e-06 
   93       3.620019510821e+03       5.952995590415e-01       0.000000000000e+00      -2.132450431987e+01       4.838860750363e-08       3.971975150791e-04      -1.724324476778e-06 
   94       3.664298872670e+03       6.102363860559e-01       0.000000000000e+00      -2.203812039469e+01       4.784655803637e-08       3.921983670520e-04      -1.730746691254e-06 
   95       3.708771111122e+03       6.251978776383e-01       0.000000000000e+00      -2.275735031381e+01       4.730848095367e-08       3.873319168070e-04      -1.736932694309e-06 
   96       3.753437427534e+03       6.401730470522e-01       0.000000000000e+00      -2.348176254151e+01       4.677668744534e-08       3.826028444367e-04      -1.742807017111e-06 
   97       3.798297871893e+03       6.551506712901e-01       0.000000000000e+00      -2.421091523683e+01       4.625297970201e-08       3.780121063783e-04      -1.748280467874e-06 
   98       3.843351286248e+03       6.701192918469e-01       0.000000000000e+00      -2.494435633101e+01       4.573857260790e-08       3.735566304295e-04      -1.753249253510e-06 
   99       3.888595248131e+03       6.850672154925e-01       0.000000000000e+00      -2.568162360499e+01       4.523401118812e-08       3.692290030896e-04      -1.757594080799e-06 
  100       3.934026013985e+03       6.999825150458e-01       0.000000000000e+00      -2.642224476687e+01       4.473908372190e-08       3.650171492244e-04      -1.761179237082e-06 
