# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       7.833728767922e+13       1.231682482830e-25       5.915353540331e-09       1.324027831993e+22       1.910636450125e+04       2.438987239320e-10       1.496740772439e+18       3.415944365848e-09       1.036222920661e+44       1.069779279168e+33       2.437090920355e+33       4.339565124443e-08       7.168267791965e+43       1.753049699892e+44       6.855884369817e-06       4.095901758754e+00 
       7.779273850965e+13       1.248986390032e-25       5.959009286016e-09       1.305684273633e+22       1.910636450125e+04       2.456060149995e-10       1.486336417516e+18       3.439855976409e-09       1.007709405738e+44       1.047624798225e+33       2.386620243456e+33       4.339565124443e-08       6.971020166400e+43       1.704811422412e+44       7.051766780383e-06       3.982126709900e+00 
       7.725197468684e+13       1.266533399825e-25       5.999027052894e-09       1.287594853536e+22       1.910636450125e+04       2.473252571045e-10       1.476004386808e+18       3.463934968244e-09       9.799804908440e+43       1.025929123164e+33       2.337194783707e+33       4.339565124443e-08       6.779200159741e+43       1.657900506852e+44       7.247649190949e-06       3.874501663686e+00 
       7.671496989756e+13       1.284326927559e-25       6.042682798579e-09       1.269756050778e+22       1.910636450125e+04       2.490565339042e-10       1.465744177565e+18       3.488182513022e-09       9.530145863146e+43       1.004682752393e+33       2.288792895294e+33       4.339565124443e-08       6.592658421409e+43       1.612280428488e+44       7.443531601515e-06       3.772541093589e+00 
       7.618169801148e+13       1.302370436565e-25       6.082700565457e-09       1.252164393218e+22       1.910636450125e+04       2.507999296416e-10       1.455555290532e+18       3.512599790613e-09       9.267906965640e+43       9.838763810920e+32       2.241393380675e+33       4.339565124443e-08       6.411249710473e+43       1.567915667644e+44       7.639414012081e-06       3.675809270677e+00 
       7.565213307992e+13       1.320667438828e-25       6.126356311142e-09       1.234816456816e+22       1.910636450125e+04       2.525555291491e-10       1.445437229922e+18       3.537187989147e-09       9.012884037370e+43       9.635008971394e+32       2.194975481296e+33       4.339565124443e-08       6.234832782563e+43       1.524771682025e+44       7.835296422647e-06       3.583914038910e+00 
       7.512624933458e+13       1.339221495676e-25       6.170012056828e-09       1.217708864973e+22       1.910636450125e+04       2.543234178531e-10       1.435389503398e+18       3.561948305071e-09       8.764878518120e+43       9.435473771187e+32       2.149518868499e+33       4.339565124443e-08       6.063270279898e+43       1.482814879833e+44       8.031178833213e-06       3.496501501375e+00 
       7.460402118627e+13       1.358036218469e-25       6.213667802513e-09       1.200838287866e+22       1.910636450125e+04       2.561036817781e-10       1.425411622044e+18       3.586881943206e-09       8.523697311413e+43       9.240070824125e+32       2.105003634621e+33       4.339565124443e-08       5.896428624344e+43       1.442012593606e+44       8.227061243780e-06       3.413251465628e+00 
       7.408542322371e+13       1.377115269302e-25       6.257323548198e-09       1.184201441811e+22       1.910636450125e+04       2.578964075505e-10       1.415503100342e+18       3.611990116808e-09       8.289152634162e+43       9.048714553748e+32       2.061410284276e+33       4.339565124443e-08       5.734177913402e+43       1.402333054786e+44       8.422943654346e-06       3.333873524567e+00 
       7.357043021222e+13       1.396462361720e-25       6.300979293883e-09       1.167795088611e+22       1.910636450125e+04       2.597016824034e-10       1.405663456149e+18       3.637274047626e-09       8.061061870468e+43       8.861321155833e+32       2.018719725813e+33       4.339565124443e-08       5.576391819075e+43       1.363745368983e+44       8.618826064912e-06       3.258103671736e+00 
       7.305901709257e+13       1.416081261440e-25       6.344635039568e-09       1.151616034936e+22       1.910636450125e+04       2.615195941802e-10       1.395892210674e+18       3.662734965959e-09       7.839247429430e+43       8.677808561690e+32       1.976913262960e+33       4.339565124443e-08       5.422947489502e+43       1.326219491922e+44       8.814708475478e-06       3.185701367920e+00 
       7.255115897971e+13       1.435975787082e-25       6.388290785253e-09       1.135661131697e+22       1.910636450125e+04       2.633502313395e-10       1.386188888455e+18       3.688374110721e-09       7.623536606879e+43       8.498096402225e+32       1.935972586632e+33       4.339565124443e-08       5.273725453313e+43       1.289726206047e+44       9.010590886044e-06       3.116446990356e+00 
       7.204683116158e+13       1.456149810915e-25       6.431946530938e-09       1.119927273432e+22       1.910636450125e+04       2.651936829588e-10       1.376553017333e+18       3.714192729495e-09       7.413761450906e+43       8.322105972737e+32       1.895879766914e+33       4.339565124443e-08       5.128609526601e+43       1.254237097778e+44       9.206473296610e-06       3.050139607583e+00 
       7.154600909790e+13       1.476607259608e-25       6.479240255430e-09       1.104411397706e+22       1.910636450125e+04       2.670500387395e-10       1.366984128434e+18       3.740192078602e-09       7.209758631098e+43       8.149760198453e+32       1.856617245210e+33       4.339565124443e-08       4.987486722469e+43       1.219724535383e+44       9.402355707176e-06       2.986595032425e+00 
       7.104866841896e+13       1.497352114998e-25       6.522896001115e-09       1.089110484509e+22       1.910636450125e+04       2.689193890107e-10       1.357481756141e+18       3.766373423152e-09       7.011369311369e+43       7.980983600770e+32       1.818167826550e+33       4.339565124443e-08       4.850247163053e+43       1.186161647468e+44       9.598238117742e-06       2.925644113396e+00 
       7.055478492449e+13       1.518388414862e-25       6.570189725608e-09       1.074021555674e+22       1.910636450125e+04       2.708018247338e-10       1.348045438075e+18       3.792738037114e-09       6.818439026290e+43       7.815702264203e+32       1.780514672064e+33       4.339565124443e-08       4.716783993975e+43       1.153522302052e+44       9.794120528308e-06       2.867131231128e+00 
       7.006433458242e+13       1.539720253702e-25       6.613845471293e-09       1.059141674292e+22       1.910636450125e+04       2.726974375069e-10       1.338674715069e+18       3.819287203373e-09       6.630817560822e+43       7.653843804011e+32       1.743641291601e+33       4.339565124443e-08       4.586993301144e+43       1.121781086222e+44       9.990002938874e-06       2.810912971694e+00 
       6.957729352772e+13       1.561351783546e-25       6.661139195785e-09       1.044467944145e+22       1.910636450125e+04       2.746063195695e-10       1.329369131151e+18       3.846022213797e-09       6.448358833360e+43       7.495337334498e+32       1.707531536515e+33       4.339565124443e-08       4.460774029851e+43       1.090913286346e+44       1.018588534944e-05       2.756856953008e+00 
       6.909363806129e+13       1.583287214753e-25       6.708432920277e-09       1.029997509139e+22       1.910636450125e+04       2.765285638065e-10       1.320128233517e+18       3.872944369293e-09       6.270920781994e+43       7.340113437966e+32       1.672169592587e+33       4.339565124443e-08       4.338027906086e+43       1.060894868832e+44       1.038176776001e-05       2.704840784083e+00 
       6.861334464875e+13       1.605530816833e-25       6.755726644769e-09       1.015727552750e+22       1.910636450125e+04       2.784642637531e-10       1.310951572509e+18       3.900054979878e-09       6.098365253901e+43       7.188104134318e+32       1.637539973099e+33       4.339565124443e-08       4.218659360024e+43       1.031702461416e+44       1.057765017057e-05       2.654751139934e+00 
       6.813638991932e+13       1.628086919279e-25       6.803020369262e-09       1.001655297476e+22       1.910636450125e+04       2.804135135994e-10       1.301838701598e+18       3.927355364737e-09       5.930557897777e+43       7.039242851282e+32       1.603627512058e+33       4.339565124443e-08       4.102575451612e+43       1.003313334962e+44       1.077353258114e-05       2.606482937389e+00 
       6.766275066466e+13       1.650959912408e-25       6.850314093754e-09       9.877780042939e+21       1.910636450125e+04       2.823764081946e-10       1.292789177356e+18       3.954846852290e-09       5.767368059232e+43       6.893464395257e+32       1.570417357545e+33       4.339565124443e-08       3.989685798210e+43       9.757053857668e+43       1.096941499170e-05       2.559938599222e+00 
       6.719240383780e+13       1.674154248217e-25       6.897607818246e-09       9.740929721285e+21       1.910636450125e+04       2.843530430519e-10       1.283802559440e+18       3.982530780256e-09       5.608668679067e+43       6.750704922764e+32       1.537894965217e+33       4.339565124443e-08       3.879902504214e+43       9.488571183502e+43       1.116529740227e-05       2.515027395727e+00 
       6.672532655194e+13       1.697674441250e-25       6.944901542738e-09       9.605975373267e+21       1.910636450125e+04       2.863435143533e-10       1.274878410566e+18       4.010408495718e-09       5.454336194339e+43       6.610901912481e+32       1.506046091937e+33       4.339565124443e-08       3.773140092625e+43       9.227476287181e+43       1.136117981284e-05       2.471664854421e+00 
       6.626149607938e+13       1.721525069475e-25       6.995833246037e-09       9.472890731383e+21       1.910636450125e+04       2.883479189538e-10       1.266016296491e+18       4.038481355187e-09       5.304250442161e+43       6.473994137868e+32       1.474856789533e+33       4.339565124443e-08       3.669315438498e+43       8.973565880871e+43       1.155706222340e-05       2.429772229770e+00 
       6.580088985043e+13       1.745710775176e-25       7.043126970530e-09       9.341649892050e+21       1.910636450125e+04       2.903663543864e-10       1.257215785989e+18       4.066750724674e-09       5.158294566142e+43       6.339921640346e+32       1.444313398691e+33       4.339565124443e-08       3.568347704214e+43       8.726642270564e+43       1.175294463397e-05       2.389276025940e+00 
       6.534348545226e+13       1.770236265857e-25       7.094058673829e-09       9.212227310565e+21       1.910636450125e+04       2.923989188671e-10       1.248476450833e+18       4.095217979746e-09       5.016354925399e+43       6.208625703045e+32       1.414402542975e+33       4.339565124443e-08       3.470158276548e+43       8.486513202151e+43       1.194882704453e-05       2.350107566499e+00 
       6.488926062787e+13       1.795106315156e-25       7.141352398321e-09       9.084597796128e+21       1.910636450125e+04       2.944457112992e-10       1.239797865773e+18       4.123884505604e-09       4.878321006084e+43       6.080048825084e+32       1.385111122965e+33       4.339565124443e-08       3.374670705457e+43       8.252991711741e+43       1.214470945510e-05       2.312202605749e+00 
       6.443819327494e+13       1.820325763777e-25       7.192284101620e-09       8.958736506942e+21       1.910636450125e+04       2.965068312783e-10       1.231179608513e+18       4.152751697143e-09       4.744085335330e+43       5.954134696391e+32       1.356426310522e+33       4.339565124443e-08       3.281810644556e+43       8.025895980082e+43       1.234059186567e-05       2.275500977086e+00 
       6.399026144483e+13       1.845899520433e-25       7.243215804920e-09       8.834618945379e+21       1.910636450125e+04       2.985823790973e-10       1.222621259695e+18       4.181820959023e-09       4.613543397581e+43       5.830828173042e+32       1.328335543171e+33       4.339565124443e-08       3.191505793234e+43       7.805049191006e+43       1.253647427623e-05       2.239946274319e+00 
