# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       7.999391317146e+13       1.181195929127e-25       5.793481250294e-09       1.380619292054e+22       1.515460971389e+04       1.894470355689e-10       1.212276533600e+18       3.345202226917e-09       1.126696229756e+44       6.834561676782e+33       2.594997636653e+28       3.733861180667e-08       7.794133997669e+43       1.906109629591e+44       3.028770135307e-06       4.479892548635e+00 
       7.943784823382e+13       1.197790550735e-25       5.835318006575e-09       1.361491695228e+22       1.515460971389e+04       1.907731648179e-10       1.203849586495e+18       3.368618642505e-09       1.095693180972e+44       6.693022043913e+33       2.541256807298e+28       3.733861180667e-08       7.579664551354e+43       1.853659636174e+44       3.123419202035e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618310182e-25       5.875335773453e-09       1.342629099016e+22       1.515460971389e+04       1.921085769716e-10       1.195481217969e+18       3.392198973002e-09       1.065543236164e+44       6.554413611114e+33       2.488628917970e+28       3.733861180667e-08       7.371096612945e+43       1.802652897524e+44       3.218068268763e-06       4.216369457539e+00 
       7.833728767922e+13       1.231682482822e-25       5.917172529735e-09       1.324027832004e+22       1.515460971389e+04       1.934533370104e-10       1.187171020823e+18       3.415944365813e-09       1.036222920661e+44       6.418675675009e+33       2.437090920355e+28       3.733861180667e-08       7.168267791965e+43       1.753049699922e+44       3.312717335492e-06       4.095901758752e+00 
       7.779273850965e+13       1.248986390023e-25       5.957190296613e-09       1.305684273644e+22       1.515460971389e+04       1.948075103695e-10       1.178918590688e+18       3.439855976373e-09       1.007709405738e+44       6.285748789349e+33       2.386620243456e+28       3.733861180667e-08       6.971020166400e+43       1.704811422441e+44       3.407366402220e-06       3.982126709898e+00 
       7.725197468684e+13       1.266533399816e-25       5.999027052894e-09       1.287594853547e+22       1.515460971389e+04       1.961711629421e-10       1.170723526006e+18       3.463934968207e-09       9.799804908440e+43       6.155574738982e+33       2.337194783707e+28       3.733861180667e-08       6.779200159740e+43       1.657900506880e+44       3.502015468948e-06       3.874501663684e+00 
       7.671496989756e+13       1.284326927550e-25       6.040863809176e-09       1.269756050789e+22       1.515460971389e+04       1.975443610827e-10       1.162585428010e+18       3.488182512984e-09       9.530145863146e+43       6.028096514355e+33       2.288792895294e+28       3.733861180667e-08       6.592658421409e+43       1.612280428516e+44       3.596664535676e-06       3.772541093587e+00 
       7.618169801148e+13       1.302370436556e-25       6.084519554861e-09       1.252164393229e+22       1.515460971389e+04       1.989271716102e-10       1.154503900705e+18       3.512599790574e-09       9.267906965640e+43       5.903258286552e+33       2.241393380675e+28       3.733861180667e-08       6.411249710473e+43       1.567915667670e+44       3.691313602404e-06       3.675809270675e+00 
       7.565213307992e+13       1.320667438819e-25       6.126356311142e-09       1.234816456827e+22       1.515460971389e+04       2.003196618115e-10       1.146478550849e+18       3.537187989108e-09       9.012884037370e+43       5.781005382836e+33       2.194975481296e+28       3.733861180667e-08       6.234832782562e+43       1.524771682051e+44       3.785962669133e-06       3.583914038908e+00 
       7.512624933457e+13       1.339221495667e-25       6.170012056828e-09       1.217708864983e+22       1.515460971389e+04       2.017218994442e-10       1.138508987934e+18       3.561948305031e-09       8.764878518120e+43       5.661284262712e+33       2.149518868499e+28       3.733861180667e-08       6.063270279898e+43       1.482814879858e+44       3.880611735861e-06       3.496501501374e+00 
       7.460402118627e+13       1.358036218459e-25       6.211848813109e-09       1.200838287877e+22       1.515460971389e+04       2.031339527403e-10       1.130594824165e+18       3.586881943165e-09       8.523697311413e+43       5.544042494475e+33       2.105003634621e+28       3.733861180667e-08       5.896428624344e+43       1.442012593631e+44       3.975260802589e-06       3.413251465627e+00 
