# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.77578e-06 to 1.80917 h/Mpc,
# number of wavenumbers equal to 517
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       5.735553673634e-03       1.942907342847e+07       1.942743185461e+07       1.046823466463e+05       1.033356297025e+05       0.000000000000e+00       1.942069731162e+07 
       5.892807087635e-03       1.932181265602e+07       1.932009526843e+07       9.864688040124e+04       9.737780866853e+04       0.000000000000e+00       1.931339604222e+07 
       6.050310761758e-03       1.921505512773e+07       1.921326040768e+07       9.308214156145e+04       9.188465974940e+04       0.000000000000e+00       1.920659648659e+07 
       6.208047220197e-03       1.910882933543e+07       1.910695543378e+07       8.794244087164e+04       8.681108188623e+04       0.000000000000e+00       1.910032678050e+07 
       6.366000604249e-03       1.900307476479e+07       1.900111971192e+07       8.318616993467e+04       8.211599911065e+04       0.000000000000e+00       1.899452629584e+07 
       6.524156497201e-03       1.889780208474e+07       1.889576373926e+07       7.877769775154e+04       7.776424124751e+04       0.000000000000e+00       1.888920551376e+07 
       6.682501770796e-03       1.879295137599e+07       1.879082787696e+07       7.468478575152e+04       7.372398391202e+04       0.000000000000e+00       1.878430480504e+07 
       6.841024450364e-03       1.868856603196e+07       1.868635540680e+07       7.087927718790e+04       6.996743373028e+04       0.000000000000e+00       1.867986742660e+07 
       6.999713596108e-03       1.858456877272e+07       1.858226947593e+07       6.733519857769e+04       6.646894918435e+04       0.000000000000e+00       1.857581654337e+07 
       7.158559198415e-03       1.848057479495e+07       1.847818460745e+07       6.402835111270e+04       6.320464771510e+04       0.000000000000e+00       1.847176680441e+07 
       7.317552085344e-03       1.837741887787e+07       1.837493638006e+07       6.094218605113e+04       6.015818656061e+04       0.000000000000e+00       1.836855349148e+07 
       7.476683840730e-03       1.827464232381e+07       1.827206548930e+07       5.805650030716e+04       5.730962723675e+04       0.000000000000e+00       1.826571745317e+07 
       7.635946731540e-03       1.817226665499e+07       1.816959365000e+07       5.535408545833e+04       5.464197533166e+04       0.000000000000e+00       1.816328039079e+07 
       7.795333643323e-03       1.807033792458e+07       1.806756700691e+07       5.282111988447e+04       5.214159425023e+04       0.000000000000e+00       1.806128842822e+07 
       7.954838022739e-03       1.796871827161e+07       1.796584750967e+07       5.044389318484e+04       4.979495061875e+04       0.000000000000e+00       1.795960355845e+07 
       8.114453826313e-03       1.786745226515e+07       1.786447981166e+07       4.821010388855e+04       4.758989823997e+04       0.000000000000e+00       1.785827041503e+07 
